geneID	DGRP.177	SP.159N
FBgn0003189	762	656
FBgn0003204	926	959
FBgn0003205	262	245
FBgn0003206	790	710
FBgn0003209	1763	1535
FBgn0003210	2305	2235
FBgn0003218	6788	6610
FBgn0003231	2362	2539
FBgn0003257	101	81
FBgn0003261	1338	1238
FBgn0003268	29	33
FBgn0003274	39686	31412
FBgn0003275	153	129
FBgn0003277	955	982
FBgn0003279	52053	53473
FBgn0003292	47	81
FBgn0003302	146	104
FBgn0003310	745	701
FBgn0003317	246	268
FBgn0003321	904	787
FBgn0003330	245	264
FBgn0003345	1300	1132
FBgn0003346	143	130
FBgn0003360	42063	41442
FBgn0003366	2638	1897
FBgn0003371	8930	9181
FBgn0003391	1982	1890
FBgn0003392	6893	6924
FBgn0003396	1277	1022
FBgn0003410	600	605
FBgn0003415	418	479
FBgn0003416	366	380
FBgn0003423	4224	3984
FBgn0003435	4849	4626
FBgn0003444	142	122
FBgn0003447	1930	2085
FBgn0003449	793	981
FBgn0003459	218	185
FBgn0003462	10757	9893
FBgn0003463	2049	2065
FBgn0003464	1388	1504
FBgn0003475	1711	1697
FBgn0003479	234	148
FBgn0003480	30	33
FBgn0003495	644	826
FBgn0003502	652	675
FBgn0003507	1824	3228
FBgn0003512	163	178
FBgn0003514	1672	1399
FBgn0003515	588	455
FBgn0003517	8894	10404
FBgn0003520	4249	5304
FBgn0003527	7	386
FBgn0003557	581	580
FBgn0003567	455	472
FBgn0003575	231	260
FBgn0003598	106	96
FBgn0003607	765	713
FBgn0003612	441	437
FBgn0003638	379	441
FBgn0003654	67	229
FBgn0003656	1835	1783
FBgn0003660	744	632
FBgn0003676	55	55
FBgn0003687	226	217
FBgn0003714	341	372
FBgn0003716	1685	1585
FBgn0003721	5355	5642
FBgn0003742	434	422
FBgn0003748	15063	14375
FBgn0003751	27	53
FBgn0003862	1591	1458
FBgn0003870	395	405
FBgn0003882	593	521
FBgn0003884	2443	2813
FBgn0003888	164	180
FBgn0003890	2416	2192
FBgn0003891	9146	9577
FBgn0003942	18774	19417
FBgn0003943	164	314
FBgn0003963	212	216
FBgn0003964	432	458
FBgn0003969	540	461
FBgn0003977	648	657
FBgn0003978	138	129
FBgn0004003	145	162
FBgn0004045	210333	214416
FBgn0004047	591677	409714
FBgn0004049	416	429
FBgn0004050	328	350
FBgn0004055	1196	1302
FBgn0004057	4794	4712
FBgn0004066	386	435
FBgn0004087	97	94
FBgn0004101	142	123
FBgn0004103	1675	1638
FBgn0004107	34	64
FBgn0004132	507	448
FBgn0004133	342	332
FBgn0004167	4967	5100
FBgn0004177	2719	2629
FBgn0004227	1426	1581
FBgn0004237	353	289
FBgn0004359	260	219
FBgn0004362	933	1046
FBgn0004363	6324	6502
FBgn0004364	1796	1822
FBgn0004367	211	202
FBgn0004368	995	984
FBgn0004369	1599	1683
FBgn0004370	837	813
FBgn0004373	1174	1157
FBgn0004374	55	46
FBgn0004380	348	317
FBgn0004381	783	716
FBgn0004387	1360	1396
FBgn0004390	436	429
FBgn0004391	258	268
FBgn0004395	1465	1726
FBgn0004397	588	617
FBgn0004401	1629	1839
FBgn0004404	1648	1294
FBgn0004406	99	136
FBgn0004419	488	550
FBgn0004432	194	156
FBgn0004435	3542	3577
FBgn0004436	886	874
FBgn0004456	366	478
FBgn0004463	309	290
FBgn0004465	254	364
FBgn0004507	20423	19004
